Year,Company/Brand,Sector,Stage,Amount($),HeadQuarter
2018,Jetbrain Robotics,Hospitality,Seed,70000.0,Gurgaon
2018,Medimetry,Health,Seed,17030531.594164457,Haryana
2018,Healthkart,Lifestyle,Unknown,10000000.0,Gurgaon
2018,Shuttl,Technology,Debt Financing,1000000.0,Gurgaon
2018,GuruQ,Technology,Seed,300000.0,New Delhi
2018,Cube,Technology,Series A,1680000.0,Mumbai
2018,RAHI Care,Hospitality,Unknown,17030531.594164457,Chandigarh
2018,Mynvax,Technology,Angel,17030531.594164457,Bengaluru
2018,Loans4SME,Finance,Seed,17030531.594164457,Mumbai
2018,UpCyclersLab,Technology,Seed,17030531.594164457,Mumbai
2018,Cellerite Systems,Transport,Seed,17030531.594164457,Hyderabad
2018,Taru Naturals,Agriculture,Seed,17030531.594164457,Mumbai
2018,LetsMD,Lifestyle,Seed,1000000.0,New Delhi
2018,Truebil,Transport,Series A,2000000.0,Mumbai
2018,FarmersFZ,Agriculture,Seed,17030531.594164457,Kochi
2018,Worxogo,Technology,Series A,1980000.0,Bengaluru
2018,Vivish Technologies (myGate),Technology,Series A,7800000.0,Bengaluru
2018,Singularity Dynamics,Technology,Seed,17030531.594164457,Bengaluru
2018,Virtual MetalStreet(MetalStreet),Commerce,Angel,700000.0,Bengaluru
2018,Manjushree Technopack,Commerce,Equity,17030531.594164457,Bengaluru
2018,GoZefo,Technology,Unknown,2520000.0,Bengaluru
2018,Innov8 Coworking,Business Intelligence,Seed,4000000.0,New Delhi
2018,RevFin,Finance,Seed,17030531.594164457,Delhi
2018,Lavelle Networks,Technology,Unknown,240000.0,Bengaluru
